Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmean (degrees C)
1,-111.5016,37.0704,1211,2006-01,8.09,2.9
1,-111.5016,37.0704,1211,2006-02,0,4.9
1,-111.5016,37.0704,1211,2006-03,31.4,7.9
1,-111.5016,37.0704,1211,2006-04,5.76,14.4
1,-111.5016,37.0704,1211,2006-05,0.81,21.7
1,-111.5016,37.0704,1211,2006-06,2.58,27.2
1,-111.5016,37.0704,1211,2006-07,16.79,29.7
1,-111.5016,37.0704,1211,2006-08,11.33,27.1
1,-111.5016,37.0704,1211,2006-09,14.23,20.6
1,-111.5016,37.0704,1211,2006-10,94.65,14.1
1,-111.5016,37.0704,1211,2006-11,2.27,8.6
1,-111.5016,37.0704,1211,2006-12,10.36,1.7
1,-111.5016,37.0704,1211,2007-01,2.09,0.3
1,-111.5016,37.0704,1211,2007-02,7.7,6.4
1,-111.5016,37.0704,1211,2007-03,22.41,10.4
1,-111.5016,37.0704,1211,2007-04,14.36,14.7
1,-111.5016,37.0704,1211,2007-05,9.6,20.2
1,-111.5016,37.0704,1211,2007-06,0,26.9
1,-111.5016,37.0704,1211,2007-07,24.93,29.8
1,-111.5016,37.0704,1211,2007-08,31.68,28.1
1,-111.5016,37.0704,1211,2007-09,13.71,23.7
1,-111.5016,37.0704,1211,2007-10,1.66,14.6
1,-111.5016,37.0704,1211,2007-11,1.65,9.3
1,-111.5016,37.0704,1211,2007-12,26.07,1.6
1,-111.5016,37.0704,1211,2008-01,27.89,0.6
1,-111.5016,37.0704,1211,2008-02,19.17,4.8
1,-111.5016,37.0704,1211,2008-03,3.36,9.7
1,-111.5016,37.0704,1211,2008-04,0.48,12.5
1,-111.5016,37.0704,1211,2008-05,5.91,17.8
1,-111.5016,37.0704,1211,2008-06,0.16,25.6
1,-111.5016,37.0704,1211,2008-07,5.85,29.2
1,-111.5016,37.0704,1211,2008-08,31.65,28.1
1,-111.5016,37.0704,1211,2008-09,8.67,23
1,-111.5016,37.0704,1211,2008-10,3.37,15.4
1,-111.5016,37.0704,1211,2008-11,15.19,9.2
1,-111.5016,37.0704,1211,2008-12,23.81,3
1,-111.5016,37.0704,1211,2009-01,5.51,3.3
1,-111.5016,37.0704,1211,2009-02,4.53,5.5
1,-111.5016,37.0704,1211,2009-03,0.67,9.7
1,-111.5016,37.0704,1211,2009-04,0.93,13.3
1,-111.5016,37.0704,1211,2009-05,38.57,21.9
1,-111.5016,37.0704,1211,2009-06,7.77,22.8
1,-111.5016,37.0704,1211,2009-07,6.7,29.3
1,-111.5016,37.0704,1211,2009-08,0.26,27.4
1,-111.5016,37.0704,1211,2009-09,3.01,23.8
1,-111.5016,37.0704,1211,2009-10,0.49,14.1
1,-111.5016,37.0704,1211,2009-11,3.95,7.6
1,-111.5016,37.0704,1211,2009-12,25.88,-0.3
1,-111.5016,37.0704,1211,2010-01,75.55,1.2
1,-111.5016,37.0704,1211,2010-02,27.62,4.4
1,-111.5016,37.0704,1211,2010-03,27.36,8.6
1,-111.5016,37.0704,1211,2010-04,0.57,13.1
1,-111.5016,37.0704,1211,2010-05,0.15,16.9
1,-111.5016,37.0704,1211,2010-06,1.7,25.6
1,-111.5016,37.0704,1211,2010-07,8.29,29.5
1,-111.5016,37.0704,1211,2010-08,31.22,26.1
1,-111.5016,37.0704,1211,2010-09,0.28,23.9
1,-111.5016,37.0704,1211,2010-10,60.89,15.7
1,-111.5016,37.0704,1211,2010-11,5.91,7
1,-111.5016,37.0704,1211,2010-12,18.44,5.3
1,-111.5016,37.0704,1211,2011-01,0,1.2
1,-111.5016,37.0704,1211,2011-02,14.27,3.3
1,-111.5016,37.0704,1211,2011-03,12.61,9.6
1,-111.5016,37.0704,1211,2011-04,8.01,13
1,-111.5016,37.0704,1211,2011-05,2.83,16.3
1,-111.5016,37.0704,1211,2011-06,0,24.7
1,-111.5016,37.0704,1211,2011-07,26.24,27.7
1,-111.5016,37.0704,1211,2011-08,8.46,28.5
1,-111.5016,37.0704,1211,2011-09,23.46,23
1,-111.5016,37.0704,1211,2011-10,17.47,15.5
1,-111.5016,37.0704,1211,2011-11,19.14,7.2
1,-111.5016,37.0704,1211,2011-12,14.59,1.1
1,-111.5016,37.0704,1211,2012-01,9.01,3.2
1,-111.5016,37.0704,1211,2012-02,7.58,5.4
1,-111.5016,37.0704,1211,2012-03,6.87,9.8
1,-111.5016,37.0704,1211,2012-04,3.87,15.3
1,-111.5016,37.0704,1211,2012-05,0,21.5
1,-111.5016,37.0704,1211,2012-06,0,27.3
1,-111.5016,37.0704,1211,2012-07,12.73,28.5
1,-111.5016,37.0704,1211,2012-08,20.12,28.2
1,-111.5016,37.0704,1211,2012-09,13.76,23.1
1,-111.5016,37.0704,1211,2012-10,3.76,16.6
1,-111.5016,37.0704,1211,2012-11,0,8.9
1,-111.5016,37.0704,1211,2012-12,21.67,2.9
1,-111.5016,37.0704,1211,2013-01,16.22,-1
1,-111.5016,37.0704,1211,2013-02,0.11,4.4
1,-111.5016,37.0704,1211,2013-03,11.15,10.5
1,-111.5016,37.0704,1211,2013-04,6.67,14.4
1,-111.5016,37.0704,1211,2013-05,6.69,19.5
1,-111.5016,37.0704,1211,2013-06,0,27.3
1,-111.5016,37.0704,1211,2013-07,23.38,28.9
1,-111.5016,37.0704,1211,2013-08,52.1,26.1
1,-111.5016,37.0704,1211,2013-09,63.61,22.2
1,-111.5016,37.0704,1211,2013-10,3.21,13.1
1,-111.5016,37.0704,1211,2013-11,50.33,7.8
1,-111.5016,37.0704,1211,2013-12,12.76,-0.6
1,-111.5016,37.0704,1211,2014-01,1.23,2.9
1,-111.5016,37.0704,1211,2014-02,2.93,7.6
1,-111.5016,37.0704,1211,2014-03,7.07,10.1
1,-111.5016,37.0704,1211,2014-04,3.06,14.1
1,-111.5016,37.0704,1211,2014-05,5.02,18.8
1,-111.5016,37.0704,1211,2014-06,0,25.6
1,-111.5016,37.0704,1211,2014-07,4.01,29.5
1,-111.5016,37.0704,1211,2014-08,32.59,25.4
1,-111.5016,37.0704,1211,2014-09,19.56,23.9
1,-111.5016,37.0704,1211,2014-10,0,16.7
1,-111.5016,37.0704,1211,2014-11,0.1,8
1,-111.5016,37.0704,1211,2014-12,16.78,4.6
1,-111.5016,37.0704,1211,2015-01,23.76,2
1,-111.5016,37.0704,1211,2015-02,30.41,7.7
1,-111.5016,37.0704,1211,2015-03,13.29,11.2
1,-111.5016,37.0704,1211,2015-04,2.16,13.7
1,-111.5016,37.0704,1211,2015-05,31.03,17.1
1,-111.5016,37.0704,1211,2015-06,33.7,25.7
1,-111.5016,37.0704,1211,2015-07,16.43,26.7
1,-111.5016,37.0704,1211,2015-08,37.18,26.7
1,-111.5016,37.0704,1211,2015-09,10.69,23.9
1,-111.5016,37.0704,1211,2015-10,60.31,17.2
1,-111.5016,37.0704,1211,2015-11,6.74,6.5
1,-111.5016,37.0704,1211,2015-12,3.61,1
1,-111.5016,37.0704,1211,2016-01,14.96,1.6
1,-111.5016,37.0704,1211,2016-02,14.14,5.4
1,-111.5016,37.0704,1211,2016-03,1.89,10.9
1,-111.5016,37.0704,1211,2016-04,21.2,13.9
1,-111.5016,37.0704,1211,2016-05,13.64,18.4
1,-111.5016,37.0704,1211,2016-06,0.02,27.8
1,-111.5016,37.0704,1211,2016-07,7.11,28.8
1,-111.5016,37.0704,1211,2016-08,23.07,26.2
1,-111.5016,37.0704,1211,2016-09,28.54,21.7
1,-111.5016,37.0704,1211,2016-10,17.05,17
1,-111.5016,37.0704,1211,2016-11,18.17,9.2
1,-111.5016,37.0704,1211,2016-12,18.73,2.7
1,-111.5016,37.0704,1211,2017-01,36.36,3.5
1,-111.5016,37.0704,1211,2017-02,14.97,7.7
1,-111.5016,37.0704,1211,2017-03,19.42,11.9
1,-111.5016,37.0704,1211,2017-04,18.1,13.9
1,-111.5016,37.0704,1211,2017-05,8.8,18.5
1,-111.5016,37.0704,1211,2017-06,1.57,27.3
1,-111.5016,37.0704,1211,2017-07,30.64,29
1,-111.5016,37.0704,1211,2017-08,17.13,27.1
1,-111.5016,37.0704,1211,2017-09,12.19,21.7
1,-111.5016,37.0704,1211,2017-10,0,15.5
1,-111.5016,37.0704,1211,2017-11,0.33,10.3
1,-111.5016,37.0704,1211,2017-12,0,4.1
1,-111.5016,37.0704,1211,2018-01,7.08,3.5
1,-111.5016,37.0704,1211,2018-02,11.68,5.3
1,-111.5016,37.0704,1211,2018-03,19.37,8.9
1,-111.5016,37.0704,1211,2018-04,7.75,15.6
1,-111.5016,37.0704,1211,2018-05,8.69,20.8
1,-111.5016,37.0704,1211,2018-06,0,27.5
1,-111.5016,37.0704,1211,2018-07,25.49,29.3
1,-111.5016,37.0704,1211,2018-08,28.09,28.1
1,-111.5016,37.0704,1211,2018-09,0.91,24.4
1,-111.5016,37.0704,1211,2018-10,63.58,13.7
1,-111.5016,37.0704,1211,2018-11,2.84,7.1
1,-111.5016,37.0704,1211,2018-12,6.94,2.9
1,-111.5016,37.0704,1211,2019-01,15.99,1.4
1,-111.5016,37.0704,1211,2019-02,34.16,2
1,-111.5016,37.0704,1211,2019-03,24.5,10.2
1,-111.5016,37.0704,1211,2019-04,13.58,15.7
1,-111.5016,37.0704,1211,2019-05,38.04,15.7
1,-111.5016,37.0704,1211,2019-06,3.87,24.8
1,-111.5016,37.0704,1211,2019-07,8.49,29.6
1,-111.5016,37.0704,1211,2019-08,4.28,28.8
