Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmean (degrees C),vpdmax (hPa),vpdmax (kPa)
1,-111.5016,37.0704,1211,2004-01,2.75,1.5,6.71,0.671
1,-111.5016,37.0704,1211,2004-02,27.13,2.9,7.01,0.701
1,-111.5016,37.0704,1211,2004-03,1.38,13.3,23.31,2.331
1,-111.5016,37.0704,1211,2004-04,18.74,14.5,21.96,2.196
1,-111.5016,37.0704,1211,2004-05,0,20.9,36.58,3.658
1,-111.5016,37.0704,1211,2004-06,2.12,25.9,49.94,4.994
1,-111.5016,37.0704,1211,2004-07,10.09,28.3,53.53,5.353
1,-111.5016,37.0704,1211,2004-08,29.24,26.6,45.16,4.516
1,-111.5016,37.0704,1211,2004-09,45.23,21.8,37.19,3.719
1,-111.5016,37.0704,1211,2004-10,46.16,14.8,18.91,1.891
1,-111.5016,37.0704,1211,2004-11,43.41,7.4,8.74,0.874
1,-111.5016,37.0704,1211,2004-12,23.07,2.7,6.34,0.634
1,-111.5016,37.0704,1211,2005-01,57.39,5.1,6.57,0.657
1,-111.5016,37.0704,1211,2005-02,53.7,6.2,7.49,0.749
1,-111.5016,37.0704,1211,2005-03,17.31,9.4,14.52,1.452
1,-111.5016,37.0704,1211,2005-04,27.26,13.1,21.57,2.157
1,-111.5016,37.0704,1211,2005-05,3.37,19.7,34.97,3.497
1,-111.5016,37.0704,1211,2005-06,4.63,23.4,42.59,4.259
1,-111.5016,37.0704,1211,2005-07,8.51,29.7,61.87,6.187
1,-111.5016,37.0704,1211,2005-08,29.64,25.7,39.48,3.948
1,-111.5016,37.0704,1211,2005-09,6.66,22.5,37.8,3.78
1,-111.5016,37.0704,1211,2005-10,32.04,15.3,21.75,2.175
1,-111.5016,37.0704,1211,2005-11,0,8.7,13.93,1.393
1,-111.5016,37.0704,1211,2005-12,1.37,2.4,8.21,0.821
1,-111.5016,37.0704,1211,2006-01,8.09,2.9,8.59,0.859
1,-111.5016,37.0704,1211,2006-02,0,4.9,12.94,1.294
1,-111.5016,37.0704,1211,2006-03,31.4,7.9,13,1.3
1,-111.5016,37.0704,1211,2006-04,5.76,14.4,24.46,2.446
1,-111.5016,37.0704,1211,2006-05,0.81,21.7,39,3.9
1,-111.5016,37.0704,1211,2006-06,2.58,27.2,55.39,5.539
1,-111.5016,37.0704,1211,2006-07,16.79,29.7,54.25,5.425
1,-111.5016,37.0704,1211,2006-08,11.33,27.1,44.45,4.445
1,-111.5016,37.0704,1211,2006-09,14.23,20.6,32.21,3.221
1,-111.5016,37.0704,1211,2006-10,94.65,14.1,17.63,1.763
1,-111.5016,37.0704,1211,2006-11,2.27,8.6,13.33,1.333
1,-111.5016,37.0704,1211,2006-12,10.36,1.7,6.84,0.684
1,-111.5016,37.0704,1211,2007-01,2.09,0.3,7.19,0.719
1,-111.5016,37.0704,1211,2007-02,7.7,6.4,11.6,1.16
