population,Tube_ID,treatment,Leaf_Mass_g,Avg_Leaf_Mass_g,Leaf_Area_cm2,SLA
1,A1,drought,0.005,0.0009,0.2,222.22
1,A2,drought,0.005,0.0009,0.13,144.44
1,A3,drought,0.005,0.0009,0.08,88.89
1,A4,drought,0.005,0.0009,0.05,55.56
1,A5,drought,0.005,0.0009,0.05,55.56
1,A6,drought,0.005,0.00092,0.15,163.04
1,A7,drought,0.005,0.00092,0.15,163.04
1,B1,drought,0.005,0.00092,0.09,97.83
1,B2,drought,0.005,0.00092,0.07,76.09
1,B3,drought,0.005,0.00092,0.11,119.57
1,B4,drought,0.004,0.00084,0.14,166.67
1,B5,drought,0.004,0.00084,0.1,119.05
1,B6,drought,0.004,0.00084,0.07,83.33
1,B7,drought,0.004,0.00084,0.08,95.24
1,C1,drought,0.004,0.00084,0.11,130.95
1,C2,drought,0.004,0.00072,0.04,55.56
1,C3,drought,0.004,0.00072,0.11,152.78
1,C4,drought,0.004,0.00072,0.06,83.33
1,C5,drought,0.004,0.00072,0.1,138.89
1,C6,drought,0.004,0.00072,0.05,69.44
1,C7,drought,0.006,0.00114,0.1,87.72
1,D1,drought,0.006,0.00114,0.12,105.26
1,D2,drought,0.006,0.00114,0.1,87.72
1,D3,drought,0.006,0.00114,0.21,184.21
1,D4,drought,0.006,0.00114,0.08,70.18
1,D5,drought,0.004,0.00086,0.13,151.16
1,D6,drought,0.004,0.00086,0.13,151.16
1,D7,drought,0.004,0.00086,0.09,104.65
1,E1,drought,0.004,0.00086,0.02,23.26
1,E2,drought,0.004,0.00086,0.05,58.14
1,E3,drought,0.004,0.00076,0.04,52.63
1,E4,drought,0.004,0.00076,0.07,92.11
1,E5,drought,0.004,0.00076,0.15,197.37
1,E6,drought,0.004,0.00076,0.09,118.42
1,E7,drought,0.004,0.00076,0.09,118.42
1,F1,drought,0.004,0.00086,0.13,151.16
1,F2,drought,0.004,0.00086,0.04,46.51
1,F3,drought,0.004,0.00086,0.16,186.05
1,F4,drought,0.004,0.00086,0.06,69.77
1,F5,drought,0.004,0.00086,0.04,46.51
1,F6,drought,0.004,0.000975,0.08,82.05
1,F7,drought,0.004,0.000975,0.08,82.05
1,G1,drought,0.004,0.000975,0.06,61.54
1,G2,drought,0.004,0.000975,0.1,102.56
2,A1,drought,0.002,0.0005,0.02,40.00
2,A2,drought,0.002,0.0005,0.03,60.00
